id,Umsatz
1808012,485.14615
1808022,484.47586
1808032,484.47586
1808042,592.04785
1808052,609.59204
1808062,485.14615
1808072,471.399
1808082,484.47586
1808092,483.11917
1808102,447.66452
1808112,538.4732
1808122,587.6887
1808132,452.34985
1808142,467.2248
1808152,452.34985
1808162,484.47586
1808172,440.62387
1808182,559.38885
1808192,538.57935
1808202,362.31918
1808212,355.90933
1808222,399.35507
1808232,397.57138
1808242,355.90933
1808252,478.58228
1808262,525.0196
1808272,345.00748
1808282,345.00748
1808292,380.25974
1808302,345.70444
1808312,364.52957
1809012,382.73288
1809022,435.19492
1809032,299.97226
1809042,299.97226
1809052,308.62808
1809062,335.86786
1809072,273.3759
1809082,372.32736
1809092,433.44522
1809102,275.12555
1809112,266.18674
1809122,264.72003
1809132,283.7814
1809142,275.12555
1809152,382.73288
1809162,443.85077
1809172,283.7814
1809182,287.0763
1809192,287.0763
1809202,275.12555
1809212,266.18674
1809222,382.73288
1809232,433.44522
1809242,275.12555
1809252,275.12555
1809262,273.3759
1809272,273.3759
1809282,275.12555
1809292,372.32736
1809302,485.54587
1810012,357.05185
1810022,298.93723
1810032,508.2526
1810042,346.02795
1810052,357.05185
1810062,468.59982
1810072,512.93854
1810082,364.91858
1810092,372.796
1810102,357.05185
1810112,357.05185
1810122,377.99966
1810132,495.9908
1810142,545.4263
1810152,377.99966
1810162,346.02795
1810172,377.99966
1810182,357.05185
1810192,315.0588
1810202,379.5225
1810212,440.64035
1810222,272.0212
1810232,261.50964
1810242,280.571
1810252,261.50964
1810262,263.20554
1810272,317.00198
1810282,400.16013
1810292,210.84602
1810302,270.1655
1811012,283.15152
1811022,272.746
1811032,338.64383
1811042,381.77496
1811052,281.40186
1811062,229.9316
1811072,300.46323
1811082,316.0252
1811092,229.9316
1811102,380.35333
1811112,432.81537
1811122,272.746
1811132,272.746
1811142,221.17792
1811152,283.15152
1811162,236.54002
1811172,338.64383
1811182,381.77496
1811192,225.9804
1811202,221.17792
1811212,221.17792
1811222,221.17792
1811232,221.17792
1811242,328.2383
1811252,381.77496
1811262,205.10863
1811272,205.10863
1811282,224.22037
1811292,205.10863
1811302,224.22037
1812012,300.2701
1812022,360.59717
1812032,248.01
1812042,224.55437
1812052,241.17514
1812062,215.5465
1812072,258.30212
1812082,325.32007
1812092,360.59717
1812102,224.55437
1812112,207.48659
1812122,207.48659
1812132,207.48659
1812142,207.48659
1812152,300.2701
1812162,367.12436
1812172,207.48659
1812182,207.48659
1812192,207.48659
1812202,253.35875
1812212,307.15146
1812222,388.3797
1812232,448.7323
1812242,309.5572
1812272,309.5572
1812282,309.5572
1812292,412.57126
1812302,478.348
1812312,476.14474
1901022,310.53757
1901032,319.42105
1901042,246.21552
1901052,308.38058
1901062,369.95728
1901072,223.53331
1901082,215.8426
1901092,223.53331
1901102,200.02077
1901112,200.02077
1901122,295.25156
1901132,353.7616
1901142,225.95534
1901152,200.02077
1901162,200.02077
1901172,200.02077
1901182,225.95534
1901192,308.38058
1901202,373.86545
1901212,205.78139
1901222,225.95534
1901232,219.82407
1901242,205.78139
1901252,205.78139
1901262,295.25156
1901272,358.22018
1901282,200.02077
1901292,208.53313
1901302,216.33003
1901312,200.02077
1902012,229.90073
1902022,322.91144
1902032,398.2556
1902042,225.68773
1902052,225.68773
1902062,247.89812
1902072,225.68773
1902082,234.02956
1902092,331.5673
1902102,388.6008
1902112,240.43912
1902122,240.43912
1902132,225.68773
1902142,240.43912
1902152,280.92496
1902162,385.43195
1902172,443.1436
1902182,280.92496
1902192,225.68773
1902202,225.68773
1902212,225.68773
1902222,240.43912
1902232,322.91144
1902242,398.2556
1902252,240.43912
1902262,280.92496
1902272,280.92496
1902282,240.43912
1903012,221.17792
1903022,328.2383
1903032,386.14966
1903042,225.9804
1903052,236.54002
1903062,221.17792
1903072,234.21382
1903082,253.10976
1903092,328.2383
1903102,390.08774
1903112,236.54002
1903122,221.17792
1903132,225.9804
1903142,221.17792
1903152,221.17792
1903162,327.62296
1903172,402.02393
1903182,236.54002
1903192,236.54002
1903212,272.746
1903222,221.17792
1903232,380.35333
1903242,395.82352
