id,Umsatz
1808014,77.46978
1808024,73.48653
1808034,76.51262
1808044,81.28575
1808054,116.162186
1808064,78.01813
1808074,81.06467
1808084,77.12882
1808094,78.40335
1808104,83.11997
1808114,89.35297
1808124,118.193756
1808134,92.43253
1808144,81.18209
1808154,82.743576
1808164,73.48653
1808174,83.3288
1808184,81.50976
1808194,114.11507
1808204,82.46763
1808214,82.42914
1808224,74.92591
1808234,76.51776
1808244,80.95184
1808254,86.51758
1808264,117.3005
1808274,82.46763
1808284,81.2553
1808294,79.33996
1808304,79.795
1808314,80.95184
1809014,82.417175
1809024,113.00249
1809034,76.461876
1809044,86.74365
1809054,74.309975
1809064,73.43288
1809074,75.618744
1809084,81.335495
1809094,111.46503
1809104,79.102295
1809114,77.46248
1809124,76.62584
1809134,74.43049
1809144,76.69947
1809154,82.417175
1809164,113.00249
1809174,79.102295
1809184,73.56109
1809194,72.26185
1809204,74.43049
1809214,76.540184
1809224,82.417175
1809234,122.14409
1809244,79.102295
1809254,78.13002
1809264,76.62584
1809274,73.31998
1809284,78.014336
1809294,93.40128
1809304,114.539246
1810014,82.27745
1810024,81.7321
1810034,91.70476
1810044,78.11772
1810054,80.41402
1810064,86.338974
1810074,116.64009
1810084,80.897095
1810094,79.31798
1810104,79.194885
1810114,76.138214
1810124,76.43878
1810134,76.75894
1810144,112.28224
1810154,78.097855
1810164,78.498215
1810174,76.75895
1810184,76.138214
1810194,78.7936
1810204,82.550026
1810214,123.81961
1810224,79.23359
1810234,76.83322
1810244,77.17648
1810254,73.45793
1810264,76.66615
1810274,83.03715
1810284,116.6583
1810294,79.81119
1810304,76.83322
1811014,74.09054
1811024,75.27636
1811034,84.3185
1811044,123.65346
1811054,77.539986
1811064,77.73839
1811074,76.720566
1811084,72.98634
1811094,76.75729
1811104,80.99213
1811114,111.14818
1811124,77.539986
1811134,76.36152
1811144,77.78351
1811154,74.09054
1811164,78.26394
1811174,84.3185
1811184,112.99214
1811194,80.73244
1811204,77.73839
1811214,77.78351
1811224,74.91591
1811234,76.75729
1811244,82.55635
1811254,123.65346
1811264,77.67435
1811274,76.18221
1811284,77.52285
1811294,73.493385
1811304,77.38118
1812014,77.05706
1812024,107.615074
1812034,71.368996
1812044,74.019005
1812054,73.144516
1812064,69.0199
1812074,70.39892
1812084,78.33817
1812094,107.615074
1812104,75.36582
1812114,71.87561
1812124,71.72812
1812134,69.0199
1812144,70.810844
1812154,87.71972
1812164,109.01122
1812174,73.18782
1812184,71.87561
1812194,71.72812
1812204,69.0199
1812214,74.21301
1812224,79.2641
1812234,109.52457
1812244,87.168976
1812274,72.65875
1812284,74.546425
1812294,81.45827
1812304,112.365944
1901024,81.461395
1901034,80.49814
1901044,79.94305
1901054,85.10469
1901064,113.97833
1901074,81.452255
1901084,80.24435
1901094,80.16875
1901104,75.744965
1901114,77.547104
1901124,83.536766
1901134,113.97833
1901144,82.81834
1901154,78.80472
1901164,78.781456
1901174,75.744965
1901184,80.68329
1901194,85.10469
1901204,117.07765
1901214,79.501595
1901224,82.36833
1901234,79.10785
1901244,75.51157
1901254,77.21297
1901264,83.536766
1901274,115.3099
1901284,79.904526
1901294,80.24435
1901304,79.592316
1901314,75.744965
1902014,91.32495
1902024,97.71068
1902034,130.07262
1902044,105.05235
1902054,93.07782
1902064,94.76997
1902074,101.292786
1902084,91.80748
1902094,97.71068
1902104,129.50896
1902114,95.67844
1902124,95.07721
1902134,92.919586
1902144,91.634964
1902154,91.24328
1902164,97.29458
1902174,127.95691
1902184,104.21518
1902194,93.07782
1902204,92.919586
1902214,90.26007
1902224,93.29498
1902234,97.71068
1902244,130.07262
1902254,95.67844
1902264,92.84158
1902274,92.00018
1902284,91.634964
1903014,76.273
1903024,92.57974
1903034,113.90293
1903044,80.079865
1903054,79.02527
1903064,77.26848
1903074,75.7815
1903084,77.841385
1903094,82.08767
1903104,112.582924
1903114,80.56048
1903124,77.14086
1903134,78.49985
1903144,74.231926
1903154,76.273
1903164,93.90457
1903174,115.87348
1903184,80.56048
1903194,79.02527
1903214,72.6641
1903224,76.273
1903234,80.46182
1903244,114.62911
1903254,80.56048
1903264,77.14086
1903274,77.26848
1903284,72.6641
1903294,75.68201
1903304,81.68159
1903314,114.62911
1904014,81.22388
1904024,77.81327
1904044,76.75889
1904054,78.96383
1904064,84.14044
1904074,125.07727
1904084,82.53001
1904094,80.84073
1904104,80.460625
1904114,76.75889
1904124,80.07301
1904134,84.84978
1904144,114.726036
1904154,82.53001
1904164,80.84073
1904174,78.99932
1904184,75.72623
1904204,89.560104
1904214,137.3148
1904224,93.3351
1904234,78.997314
1904244,78.16452
1904254,75.694916
1904264,77.181725
1904274,83.85416
1904284,114.84262
1904294,80.2231
1904304,76.45265
1905024,75.03516
1905034,77.10407
1905044,84.83554
1905054,113.01951
1905064,91.63957
1905074,79.77398
1905084,77.637276
1905094,73.441284
1905104,75.61818
1905114,82.46249
1905124,113.01951
1905134,89.63114
1905144,76.593895
1905154,76.85193
1905164,73.441284
1905174,75.61818
1905184,82.46249
1905194,113.01951
1905204,79.0309
1905214,77.39637
1905224,76.60848
1905234,74.279816
1905244,76.47373
1905254,81.268074
1905264,112.8003
1905274,77.90129
1905284,76.593895
1905294,76.85193
1905304,84.8381
