id,Umsatz
1811016,38.90768
1811026,37.167587
1811036,59.877872
1811046,44.608414
1811056,41.665302
1811066,43.12001
1811076,49.139664
1811086,36.36708
1811096,43.12001
1811106,45.44457
1811116,34.29552
1811126,37.167587
1811136,37.167587
1811146,43.94362
1811156,50.09171
1811166,52.45454
1811176,60.777496
1811186,43.772594
1811196,44.555843
1811206,47.078106
1811216,47.078106
1811226,47.078106
1811236,47.739285
1811246,55.12184
1811256,43.772594
1811266,71.887665
1811276,71.887665
1811286,74.26133
1811296,71.887665
1811306,79.04709
1812016,86.903564
1812026,79.01929
1812036,76.49565
1812046,87.123825
1812056,90.57415
1812066,82.14974
1812076,74.22979
1812086,80.44711
1812096,79.01929
1812106,84.13803
1812116,82.30668
1812126,82.30668
1812136,82.30668
1812146,85.22393
1812156,86.903564
1812166,76.65509
1812176,82.30668
1812186,82.30668
1812196,82.30668
1812206,82.30668
1812216,78.17212
1812226,85.02268
1812236,80.04812
1812246,55.907703
1812276,46.886196
1812286,46.886196
